episode,timestep,reward
7,3000,-121.5324
12,6000,-121.6818
17,9000,-135.9419
22,12000,-110.3474
25,15000,-97.9861
29,18000,-125.3977
31,21000,-145.7341
35,24000,-124.9936
40,27000,-104.9012
43,30000,-94.8762
45,33000,-92.7715
47,36000,-96.6578
50,39000,-100.8254
52,42000,-92.6392
55,45000,-97.2594
59,48000,-108.4488
61,51000,-122.0758
67,54000,-119.3789
70,57000,-92.7405
72,60000,-93.6249
79,63000,-97.4799
86,66000,-96.2015
88,69000,-113.7556
94,72000,-114.385
98,75000,-104.8852
101,78000,-96.6219
107,81000,-116.0717
110,84000,-91.5839
114,87000,-122.209
117,90000,-98.9716
119,93000,-85.6822
123,96000,-130.2245
125,99000,-134.6452
127,102000,-87.025
129,105000,-135.1807
132,108000,-134.3646
135,111000,-119.3191
137,114000,-84.431
140,117000,-87.8475
143,120000,-89.4196
145,123000,-90.4166
149,126000,-104.4773
152,129000,-96.5262
154,132000,-75.9121
156,135000,-75.5013
158,138000,-75.3111
161,141000,-97.9172
165,144000,-91.8701
167,147000,-76.4949
171,150000,-94.2698
175,153000,-93.767
178,156000,-89.8438
182,159000,-100.3345
185,162000,-87.9652
187,165000,-76.0144
191,168000,-90.3317
193,171000,-75.5412
195,174000,-80.2696
198,177000,-84.9914
200,180000,-78.5491
202,183000,-74.7991
204,186000,-73.8166
206,189000,-73.8038
209,192000,-84.6245
212,195000,-92.1167
214,198000,-68.6252
217,201000,-91.6643
219,204000,-76.3866
221,207000,-89.1944
223,210000,-73.4662
225,213000,-74.5386
228,216000,-90.9242
230,219000,-74.2189
232,222000,-74.8495
234,225000,-76.2712
236,228000,-74.6343
238,231000,-74.0517
240,234000,-79.5726
242,237000,-74.4835
244,240000,-74.0172
246,243000,-71.7703
248,246000,-74.4109
250,249000,-74.7265
252,252000,-74.8951
254,255000,-72.0134
256,258000,-67.4806
258,261000,-73.3869
260,264000,-69.8113
262,267000,-64.3191
264,270000,-66.2808
267,273000,-85.0681
269,276000,-64.5815
271,279000,-67.7808
273,282000,-68.1103
275,285000,-68.2545
277,288000,-64.0812
279,291000,-63.542
281,294000,-63.3597
283,297000,-65.1948
285,300000,-63.4307
287,303000,-63.1095
289,306000,-66.5975
291,309000,-59.3756
293,312000,-62.33
295,315000,-61.4808
297,318000,-61.3318
300,321000,-78.9294
302,324000,-60.0218
306,327000,-87.0534
308,330000,-62.0102
310,333000,-67.9678
312,336000,-59.9144
314,339000,-65.9722
316,342000,-60.8688
318,345000,-62.6982
321,348000,-81.5378
323,351000,-59.9466
325,354000,-60.59
327,357000,-58.249
329,360000,-60.5103
332,363000,-78.3732
334,366000,-65.3148
336,369000,-58.0059
338,372000,-54.6437
341,375000,-79.1869
343,378000,-59.9089
345,381000,-59.9024
350,384000,-89.718
352,387000,-56.6539
356,390000,-85.518
359,393000,-75.5528
361,396000,-58.9222
364,399000,-80.8523
366,402000,-61.6042
368,405000,-65.654
370,408000,-82.4725
372,411000,-62.0015
374,414000,-66.2008
376,417000,-69.6533
379,420000,-74.8549
381,423000,-61.7551
383,426000,-62.7928
385,429000,-58.1114
387,432000,-56.4487
389,435000,-55.5985
391,438000,-56.011
393,441000,-54.8786
396,444000,-81.1254
398,447000,-46.4531
400,450000,-51.8998
402,453000,-52.0954
404,456000,-55.9286
406,459000,-55.1246
408,462000,-50.948
410,465000,-47.6033
415,468000,-86.8223
417,471000,-44.885
419,474000,-44.8365
421,477000,-53.7751
423,480000,-45.6027
427,483000,-74.1688
429,486000,-61.0784
431,489000,-53.2335
434,492000,-70.7848
436,495000,-49.9336
438,498000,-155.5775
440,501000,-62.9844
443,504000,-62.059
445,507000,-46.4876
448,510000,-76.4777
451,513000,-82.1751
454,516000,-68.4583
456,519000,-45.9207
458,522000,-43.4769
461,525000,-70.1697
463,528000,-35.8334
465,531000,-42.2692
468,534000,-65.4752
470,537000,-53.5816
476,540000,-105.4853
478,543000,-35.1407
480,546000,-39.3069
482,549000,-31.0454
484,552000,-80.8535
487,555000,-57.6075
489,558000,-34.4971
491,561000,-37.044
493,564000,-44.2346
495,567000,-39.058
498,570000,-67.1416
500,573000,-91.412
503,576000,-65.1311
505,579000,-77.297
508,582000,-64.849
510,585000,-34.1172
512,588000,-42.3659
515,591000,-62.6666
517,594000,-28.6376
519,597000,-37.6235
521,600000,-23.2712
524,603000,-56.1519
526,606000,-14.0393
528,609000,-20.1091
530,612000,-24.9669
532,615000,-17.2003
534,618000,-11.1
536,621000,-0.0475
538,624000,-36.1832
540,627000,-6.7778
542,630000,-5.768
544,633000,-78.1497
546,636000,0.4402
548,639000,0.6204
550,642000,2.0317
553,645000,-82.0425
555,648000,4.247
558,651000,-34.2114
560,654000,4.3642
562,657000,1.0831
564,660000,7.0855
567,663000,-19.6754
569,666000,1.8522
571,669000,5.7819
573,672000,7.4764
575,675000,17.3411
577,678000,22.3675
579,681000,15.7174
581,684000,19.1057
583,687000,34.7182
585,690000,-36.8537
587,693000,25.4158
589,696000,-8.5844
591,699000,20.5031
593,702000,32.9695
595,705000,-53.5281
597,708000,27.7546
599,711000,16.4844
601,714000,25.8272
603,717000,32.5817
605,720000,27.4453
607,723000,41.2785
609,726000,41.8121
611,729000,-21.4252
613,732000,32.4122
617,735000,-27.4318
620,738000,-16.2607
622,741000,41.0693
624,744000,-20.4617
626,747000,56.9312
629,750000,-1.559
631,753000,47.4349
633,756000,68.3872
635,759000,53.5518
637,762000,80.0464
639,765000,-21.2279
641,768000,50.1739
643,771000,75.3245
645,774000,67.2778
647,777000,86.1966
650,780000,20.8561
652,783000,58.6233
654,786000,60.5533
656,789000,66.6091
658,792000,86.2067
661,795000,14.514
663,798000,60.579
665,801000,79.2395
668,804000,-32.6728
670,807000,89.5276
673,810000,23.6528
675,813000,73.2536
677,816000,-7.2441
680,819000,28.9861
682,822000,72.5229
684,825000,85.7666
686,828000,77.6223
688,831000,86.4422
690,834000,78.4717
692,837000,83.9647
694,840000,89.5224
696,843000,72.415
698,846000,83.2874
700,849000,72.6909
702,852000,86.3419
704,855000,89.0188
706,858000,86.3337
708,861000,14.7209
710,864000,86.0598
712,867000,91.6946
714,870000,82.371
716,873000,87.3776
718,876000,96.732
720,879000,95.3712
722,882000,91.8553
724,885000,86.9155
726,888000,104.0753
728,891000,117.1191
731,894000,40.454
733,897000,93.868
735,900000,101.3516
737,903000,104.2576
739,906000,112.8328
741,909000,6.7237
743,912000,105.754
745,915000,98.0396
747,918000,128.9202
750,921000,73.7772
752,924000,105.9284
755,927000,-16.2256
757,930000,105.985
760,933000,38.3726
762,936000,110.4625
764,939000,-1.5413
766,942000,113.8394
768,945000,109.0319
770,948000,90.5625
773,951000,46.4899
775,954000,111.1252
777,957000,136.4922
780,960000,14.2869
782,963000,123.6414
784,966000,39.4923
786,969000,118.1148
788,972000,115.7081
790,975000,108.1678
792,978000,94.9095
794,981000,122.3568
796,984000,124.2512
798,987000,68.689
800,990000,119.937
802,993000,107.222
804,996000,124.4832
806,999000,113.5539
808,1002000,121.1257
810,1005000,130.9762
812,1008000,47.8664
814,1011000,60.3157
816,1014000,125.3146
819,1017000,68.6313
821,1020000,120.0143
823,1023000,123.6446
825,1026000,124.372
828,1029000,24.761
830,1032000,131.7537
832,1035000,53.3314
834,1038000,136.9048
836,1041000,58.4227
839,1044000,88.5628
841,1047000,144.4932
843,1050000,137.4436
845,1053000,141.7929
847,1056000,131.1194
849,1059000,119.7635
851,1062000,131.3258
853,1065000,120.221
855,1068000,143.4641
857,1071000,141.9948
859,1074000,138.9207
861,1077000,143.3573
863,1080000,141.9545
865,1083000,33.1819
868,1086000,91.4287
871,1089000,65.848
873,1092000,45.5405
876,1095000,55.3784
878,1098000,139.2257
880,1101000,140.6352
882,1104000,144.2639
884,1107000,81.2553
886,1110000,140.1579
888,1113000,149.7871
890,1116000,125.3165
894,1119000,29.7286
896,1122000,142.4097
898,1125000,137.6437
900,1128000,148.3086
902,1131000,57.1022
904,1134000,140.1233
906,1137000,133.0675
908,1140000,154.4661
910,1143000,149.7349
912,1146000,159.5497
914,1149000,152.5175
916,1152000,160.2701
918,1155000,133.9353
920,1158000,159.1015
922,1161000,160.4802
925,1164000,65.7269
927,1167000,77.803
929,1170000,156.9704
933,1173000,41.8769
935,1176000,144.9495
937,1179000,152.58
939,1182000,167.1888
941,1185000,90.6286
944,1188000,48.8704
947,1191000,36.5449
949,1194000,139.2996
951,1197000,156.5365
953,1200000,92.1325
955,1203000,150.4243
958,1206000,86.3202
960,1209000,94.1714
962,1212000,143.7739
964,1215000,47.0183
966,1218000,139.955
968,1221000,90.782
970,1224000,147.8751
973,1227000,108.0337
975,1230000,165.6145
977,1233000,92.9735
979,1236000,135.4301
981,1239000,142.5082
983,1242000,166.9364
985,1245000,103.0771
987,1248000,148.6991
989,1251000,150.2405
991,1254000,155.4241
994,1257000,86.0915
996,1260000,185.569
998,1263000,164.7615
1000,1266000,91.3561
1002,1269000,165.8308
1004,1272000,125.0677
1007,1275000,104.4968
1009,1278000,165.717
1011,1281000,189.2223
1013,1284000,172.3334
1015,1287000,172.9367
1017,1290000,70.8504
1019,1293000,163.4909
1022,1296000,87.8386
1024,1299000,161.2788
1026,1302000,111.0411
1028,1305000,183.1994
1031,1308000,87.5553
1033,1311000,159.0047
1035,1314000,157.2013
1038,1317000,98.2937
1040,1320000,155.9649
1042,1323000,27.973
1044,1326000,177.3432
1046,1329000,180.8196
1048,1332000,167.2581
1050,1335000,118.9837
1052,1338000,172.726
1054,1341000,169.6371
1056,1344000,176.0753
1058,1347000,166.5287
1060,1350000,168.8878
1063,1353000,99.3748
1065,1356000,169.5841
1067,1359000,95.3058
1070,1362000,105.1442
1072,1365000,185.7827
1074,1368000,58.277
1077,1371000,114.7086
1079,1374000,171.1966
1081,1377000,182.1922
1083,1380000,178.0719
1085,1383000,77.4146
1087,1386000,184.839
1089,1389000,178.7983
1092,1392000,128.0207
1094,1395000,182.9147
1096,1398000,182.5829
1098,1401000,177.71
1100,1404000,94.7591
1102,1407000,178.2195
1104,1410000,171.7813
1106,1413000,175.772
1108,1416000,188.3352
1110,1419000,191.6339
1113,1422000,89.8038
1115,1425000,190.8452
1117,1428000,196.3303
1119,1431000,183.2294
1121,1434000,185.5027
1123,1437000,174.2419
1125,1440000,185.8722
1127,1443000,172.8824
1129,1446000,103.2352
1131,1449000,190.0414
1133,1452000,173.7321
1135,1455000,186.4509
1137,1458000,175.4419
1139,1461000,179.3654
1141,1464000,193.0412
1143,1467000,169.9113
1145,1470000,180.5734
1147,1473000,174.0956
1149,1476000,168.6489
1151,1479000,172.8248
1153,1482000,184.8724
1155,1485000,183.0605
1157,1488000,187.6803
1160,1491000,115.3705
1162,1494000,175.2377
1164,1497000,188.4638
1166,1500000,193.8966
1168,1503000,192.5482
1170,1506000,198.4028
1173,1509000,118.4796
1175,1512000,104.5361
1177,1515000,199.0551
1179,1518000,206.3542
1182,1521000,101.9189
1184,1524000,211.6334
1186,1527000,211.2766
1188,1530000,121.0228
1190,1533000,106.9092
1192,1536000,200.1039
1195,1539000,80.3761
1198,1542000,114.7563
1201,1545000,-17.7009
1204,1548000,136.9878
1207,1551000,54.9087
1209,1554000,198.3695
1211,1557000,197.8139
1213,1560000,132.6756
1215,1563000,189.1687
1217,1566000,197.5489
1219,1569000,92.3977
1222,1572000,111.1088
1225,1575000,111.7591
1227,1578000,48.5077
1229,1581000,144.1637
1231,1584000,195.5526
1233,1587000,184.0942
1235,1590000,207.7852
1237,1593000,196.4523
1239,1596000,199.7241
1242,1599000,117.2889
1244,1602000,207.3903
1246,1605000,196.7983
1249,1608000,116.2776
1251,1611000,201.716
1253,1614000,186.4224
1255,1617000,103.1176
1257,1620000,201.1502
1260,1623000,126.1011
1264,1626000,19.7666
1267,1629000,118.3159
1270,1632000,41.5336
1273,1635000,134.6213
1276,1638000,50.8939
1278,1641000,34.6852
1281,1644000,57.2516
1283,1647000,216.2239
1285,1650000,198.4265
1287,1653000,222.3659
1289,1656000,203.234
1291,1659000,192.1838
1294,1662000,158.621
1296,1665000,42.668
1298,1668000,201.2897
1301,1671000,140.4009
1303,1674000,153.0378
1305,1677000,133.6022
1307,1680000,116.5764
1310,1683000,111.4399
1312,1686000,205.8099
1314,1689000,141.9872
1316,1692000,224.8334
1320,1695000,-15.0005
1322,1698000,136.9601
1324,1701000,155.5776
1327,1704000,51.6668
1329,1707000,220.064
1331,1710000,195.85
1334,1713000,109.2114
1337,1716000,126.594
1339,1719000,55.9485
1343,1722000,79.6738
1345,1725000,130.6735
1348,1728000,51.4661
1350,1731000,165.2339
1352,1734000,200.8733
1354,1737000,209.2478
1356,1740000,123.3032
1358,1743000,204.363
1361,1746000,149.6793
1363,1749000,113.4265
1365,1752000,206.8959
1368,1755000,99.2348
1370,1758000,212.2252
1374,1761000,0.387
1376,1764000,215.7385
1379,1767000,101.7564
1381,1770000,219.7332
1385,1773000,33.1987
1387,1776000,219.0591
1389,1779000,127.5922
1392,1782000,99.8667
1395,1785000,125.082
1397,1788000,94.8622
1399,1791000,114.6437
1404,1794000,38.9941
1406,1797000,212.6351
1409,1800000,80.9646
1411,1803000,223.0356
1413,1806000,193.6304
1415,1809000,139.5917
1417,1812000,214.8001
1419,1815000,231.7241
1422,1818000,105.9156
1424,1821000,209.3903
1426,1824000,205.517
1428,1827000,143.5107
1430,1830000,90.3733
1432,1833000,217.646
1434,1836000,210.9558
1436,1839000,219.2835
1439,1842000,183.2028
1441,1845000,162.0812
1443,1848000,214.2894
1445,1851000,126.4699
1448,1854000,134.2091
1450,1857000,158.4193
1452,1860000,214.6291
1454,1863000,205.8125
1456,1866000,219.1721
1458,1869000,223.055
1460,1872000,87.2319
1462,1875000,212.2024
1465,1878000,142.4106
1467,1881000,136.8458
1470,1884000,144.3534
1472,1887000,209.4232
1474,1890000,209.8246
1476,1893000,138.818
1478,1896000,210.026
1480,1899000,132.8044
1483,1902000,148.9427
1485,1905000,206.0637
1487,1908000,208.009
1489,1911000,216.0607
1492,1914000,126.6099
1494,1917000,207.5102
1496,1920000,118.9399
1498,1923000,99.2266
1500,1926000,221.5633
1502,1929000,218.0085
1504,1932000,217.2639
1507,1935000,158.6962
1509,1938000,214.2725
1511,1941000,218.2488
1513,1944000,204.7685
1515,1947000,165.7477
1517,1950000,214.6421
1519,1953000,223.0811
1521,1956000,113.9418
1523,1959000,212.55
1525,1962000,116.963
1528,1965000,179.9632
1530,1968000,226.2156
1532,1971000,86.0529
1534,1974000,213.691
1537,1977000,130.9297
1539,1980000,216.417
1541,1983000,214.6954
1543,1986000,209.7973
1546,1989000,132.6068
1548,1992000,73.5451
1550,1995000,209.4228
1552,1998000,128.4242
1555,2001000,156.2842
1557,2004000,221.2967
1559,2007000,152.4731
1561,2010000,226.9113
1564,2013000,110.6979
1566,2016000,229.3432
1569,2019000,124.8475
1571,2022000,225.2068
1574,2025000,68.9588
1576,2028000,220.881
1578,2031000,213.5061
1581,2034000,53.7105
1583,2037000,209.5785
1585,2040000,214.7425
1587,2043000,215.6896
1589,2046000,222.1094
1592,2049000,130.0256
1594,2052000,230.2203
1597,2055000,150.4723
1599,2058000,220.6557
1601,2061000,105.3634
