episode,timestep,reward
7,600,-31.4072
13,1200,-36.6819
20,1800,-43.8955
27,2400,-15.9237
34,3000,-23.8402
40,3600,-34.712
46,4200,-19.6942
52,4800,-36.9867
59,5400,-14.7011
65,6000,-12.9479
71,6600,-23.4962
77,7200,-26.4623
82,7800,-11.5193
87,8400,-14.234
93,9000,-9.9259
99,9600,-19.1026
105,10200,-17.6993
112,10800,-8.2966
118,11400,-19.3665
124,12000,-17.3948
130,12600,-8.8922
136,13200,-6.0814
141,13800,-8.8369
147,14400,2.7868
152,15000,-1.1368
158,15600,9.3555
162,16200,19.4253
168,16800,23.5778
173,17400,2.1446
177,18000,5.4154
181,18600,16.1638
186,19200,2.7401
191,19800,4.8462
196,20400,3.5002
199,21000,13.4064
204,21600,14.8698
207,22200,3.387
209,22800,53.6505
214,23400,21.4642
218,24000,7.2577
221,24600,40.5451
225,25200,6.2545
230,25800,16.8726
233,26400,32.9765
236,27000,59.7474
239,27600,19.9671
242,28200,35.2856
246,28800,42.9437
248,29400,-21.4224
251,30000,9.0701
254,30600,-9.3465
257,31200,36.5225
260,31800,58.7312
262,32400,30.5693
265,33000,7.9421
269,33600,26.5413
271,34200,0.4147
274,34800,12.4827
277,35400,17.3578
280,36000,2.3491
283,36600,16.5279
285,37200,17.9236
288,37800,-12.9121
291,38400,-19.8923
294,39000,9.2426
297,39600,-2.8472
300,40200,2.4129
303,40800,12.5937
305,41400,83.6896
307,42000,26.6935
309,42600,24.4656
312,43200,39.4895
315,43800,44.6712
317,44400,25.6495
320,45000,48.5088
322,45600,38.5177
325,46200,49.4129
328,46800,44.8428
331,47400,33.059
333,48000,18.7031
336,48600,33.0794
339,49200,66.9315
342,49800,29.869
345,50400,41.1872
348,51000,21.1181
351,51600,53.2061
353,52200,59.6929
356,52800,73.2271
358,53400,41.3447
360,54000,87.1098
363,54600,53.3397
366,55200,54.5693
368,55800,62.6651
371,56400,70.9393
374,57000,91.4928
376,57600,46.0553
379,58200,53.5404
381,58800,63.7001
383,59400,54.2556
385,60000,58.5256
387,60600,78.3573
389,61200,88.2119
391,61800,58.9514
394,62400,40.8492
396,63000,90.5954
398,63600,57.6589
401,64200,69.7925
403,64800,64.3464
405,65400,82.6346
407,66000,81.5899
409,66600,67.0224
412,67200,25.0155
414,67800,72.0381
416,68400,81.6379
418,69000,52.5138
420,69600,69.7248
422,70200,89.3979
424,70800,65.9106
426,71400,84.6438
429,72000,46.5791
431,72600,93.6283
433,73200,60.3061
435,73800,73.8731
438,74400,54.004
440,75000,43.3951
442,75600,64.4705
444,76200,94.9485
446,76800,89.2619
448,77400,58.7001
450,78000,52.3377
452,78600,106.7509
454,79200,97.1856
456,79800,76.5747
458,80400,73.6727
460,81000,78.1375
462,81600,91.0567
465,82200,70.4963
469,82800,41.0941
472,83400,86.5915
474,84000,70.2644
477,84600,85.963
480,85200,60.7089
482,85800,78.5802
486,86400,66.4993
489,87000,69.6562
492,87600,86.9814
494,88200,87.5503
497,88800,65.3394
499,89400,69.9219
502,90000,82.2808
505,90600,64.4692
507,91200,72.3155
509,91800,79.9042
512,92400,51.7858
514,93000,93.3789
516,93600,76.0369
520,94200,64.4861
522,94800,64.0335
525,95400,77.5939
527,96000,99.031
530,96600,66.5967
532,97200,77.1488
535,97800,78.2458
539,98400,60.6191
543,99000,78.3889
545,99600,104.9476
548,100200,88.339
