episode,timestep,reward
1,800,-48717982.5632
5,1600,-25308471.8784
9,2400,-20675752.7198
12,3200,-24626869.192
14,4000,-41777780.3612
16,4800,-32902932.9211
20,5600,-38553700.7444
23,6400,-27775007.0188
30,7200,-15657234.2812
35,8000,-14695434.6981
42,8800,-9990750.2926
48,9600,-15566537.4043
58,10400,-9743255.819
68,11200,-8065152.9316
75,12000,-11821079.8789
83,12800,-12828415.5215
92,13600,-12746547.3641
107,14400,-6674754.5057
119,15200,-7808699.7665
131,16000,-5839485.8655
144,16800,-6931442.432
156,17600,-8146121.2716
175,18400,-4979541.6709
193,19200,-6235236.1483
216,20000,-2644053.9035
238,20800,-4152688.5746
261,21600,-3376690.906
282,22400,-3752041.9012
306,23200,-2262646.9214
329,24000,-2353553.8353
355,24800,-1890962.0413
377,25600,-3280615.1851
407,26400,-1375357.9156
436,27200,-1774135.0817
467,28000,-1292610.4616
499,28800,-1619087.0794
534,29600,-1490411.1961
570,30400,-1175285.8678
609,31200,-987482.8265
648,32000,-1204097.0512
689,32800,-854288.3597
725,33600,-1150170.3076
769,34400,-826914.7302
812,35200,-935470.5812
855,36000,-761329.7239
898,36800,-837884.9062
943,37600,-438274.4728
987,38400,-525554.6614
1029,39200,-1002883.1623
1072,40000,-874711.1202
1117,40800,-821463.551
1163,41600,-874285.6393
1210,42400,-664250.0438
1256,43200,-699419.5424
1303,44000,-670811.1979
1348,44800,-748518.257
1397,45600,-719137.6858
1446,46400,-594012.3862
1494,47200,-730238.3431
1544,48000,-821425.6067
1594,48800,-377438.9973
1647,49600,-377559.1673
1699,50400,-291641.1083
1751,51200,-505418.8489
1799,52000,-170215.4388
1849,52800,-353413.8307
1900,53600,-341945.7957
1951,54400,-247087.5888
2003,55200,-185907.4759
2056,56000,-136623.162
2104,56800,-990735.8457
2156,57600,-858340.6845
2208,58400,-710032.4251
2259,59200,-678314.9973
2312,60000,-555594.1539
2364,60800,-597674.0722
2414,61600,-610723.5027
2464,62400,-386730.668
2516,63200,-407786.7527
2569,64000,-330687.3066
2623,64800,-227901.189
2677,65600,-194393.6528
2731,66400,-147487.8954
2785,67200,-274838.1702
2839,68000,-331130.0121
2893,68800,-201246.3217
2947,69600,-194555.2587
3002,70400,-120829.0644
3057,71200,-111435.6752
3112,72000,-146328.6121
3167,72800,-84586.0483
3223,73600,-34960.7433
3274,74400,-385894.9559
3325,75200,-378996.0347
3378,76000,-216919.7162
3432,76800,-320421.567
3486,77600,-189054.9021
3540,78400,-135424.4651
3594,79200,-173059.2239
3649,80000,-139666.2644
3702,80800,-182115.5435
3757,81600,-107433.5154
3812,82400,-93989.6268
3867,83200,-92636.9074
3923,84000,-92755.4758
3977,84800,-22107.7775
4033,85600,-24220.4059
4088,86400,-63124.9047
4143,87200,-88624.5852
4199,88000,-8102.8239
4254,88800,-120830.5315
4310,89600,-137120.8105
4364,90400,-150187.6394
4419,91200,-111464.8121
4460,92000,-373037.3452
4502,92800,-345312.9116
4548,93600,-623671.1565
4594,94400,-793361.6114
4641,95200,-1010775.1036
4690,96000,-675244.506
4739,96800,-933509.9081
4789,97600,-961419.724
4839,98400,-669380.4347
4890,99200,-456656.0961
4943,100000,-374881.5074
